customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone
CUST000001,Company 1,Contact 1,Title 1,Address 1,City 1,CA,1,USA,555-000-0001
CUST000002,Company 2,Contact 2,Title 2,Address 2,City 2,NY,2,USA,555-000-0002
CUST000003,Company 3,Contact 3,Title 3,Address 3,City 3,TX,3,USA,555-000-0003
CUST000004,Company 4,Contact 4,Title 4,Address 4,City 4,FL,4,USA,555-000-0004
CUST000005,Company 5,Contact 5,Title 5,Address 5,City 5,GA,5,USA,555-000-0005
CUST000006,Company 6,Contact 6,Title 6,Address 6,City 6,QC,6,Canada,555-000-0006
CUST000007,Company 7,Contact 7,Title 7,Address 7,City 7,NSW,7,Australia,555-000-0007
CUST000008,Company 8,Contact 8,Title 8,Address 8,City 8,BC,8,Canada,555-000-0008
CUST000009,Company 9,Contact 9,Title 9,Address 9,City 9,WA,9,USA,555-000-0009
CUST000010,Company 10,Contact 10,Title 10,Address 10,City 10,ENG,10,UK,555-000-0010
CUST000011,Company 11,Contact 11,Title 11,Address 11,City 11,ENG,11,UK,555-000-0011
CUST000012,Company 12,Contact 12,Title 12,Address 12,City 12,ENG,12,UK,555-000-0012
CUST000013,Company 13,Contact 13,Title 13,Address 13,City 13,ENG,13,UK,555-000-0013
CUST000014,Company 14,Contact 14,Title 14,Address 14,City 14,ENG,14,UK,555-000-0014
CUST000015,Company 15,Contact 15,Title 15,Address 15,City 15,ENG,15,UK,555-000-0015
CUST000016,Company 16,Contact 16,Title 16,Address 16,City 16,ENG,16,UK,555-000-0016
CUST000017,Company 17,Contact 17,Title 17,Address 17,City 17,ENG,17,UK,555-000-0017
CUST000018,Company 18,Contact 18,Title 18,Address 18,City 18,ENG,18,UK,555-000-0018
CUST000019,Company 19,Contact 19,Title 19,Address 19,City 19,ENG,19,UK,555-000-0019
CUST000020,Company 20,Contact 20,Title 20,Address 20,City 20,ENG,20,UK,555-000-0020
CUST000021,Company 21,Contact 21,Title 21,Address 21,City 21,ENG,21,UK,555-000-0021
CUST000022,Company 22,Contact 22,Title 22,Address 22,City 22,ENG,22,UK,555-000-0022
CUST000023,Company 23,Contact 23,Title 23,Address 23,City 23,ENG,23,UK,555-000-0023
CUST000024,Company 24,Contact 24,Title 24,Address 24,City 24,ENG,24,UK,555-000-0024
CUST000025,Company 25,Contact 25,Title 25,Address 25,City 25,ENG,25,UK,555-000-0025
CUST000026,Company 26,Contact 26,Title 26,Address 26,City 26,ENG,26,UK,555-000-0026
CUST000027,Company 27,Contact 27,Title 27,Address 27,City 27,ENG,27,UK,555-000-0027
CUST000028,Company 28,Contact 28,Title 28,Address 28,City 28,ENG,28,UK,555-000-0028
CUST000029,Company 29,Contact 29,Title 29,Address 29,City 29,ENG,29,UK,555-000-0029
CUST000030,Company 30,Contact 30,Title 30,Address 30,City 30,ENG,30,UK,555-000-0030
CUST000031,Company 31,Contact 31,Title 31,Address 31,City 31,ENG,31,UK,555-000-0031
CUST000032,Company 32,Contact 32,Title 32,Address 32,City 32,ENG,32,UK,555-000-0032
CUST000033,Company 33,Contact 33,Title 33,Address 33,City 33,ENG,33,UK,555-000-0033
CUST000034,Company 34,Contact 34,Title 34,Address 34,City 34,ENG,34,UK,555-000-0034
CUST000035,Company 35,Contact 35,Title 35,Address 35,City 35,ENG,35,UK,555-000-0035
CUST000036,Company 36,Contact 36,Title 36,Address 36,City 36,ENG,36,UK,555-000-0036
CUST000037,Company 37,Contact 37,Title 37,Address 37,City 37,ENG,37,UK,555-000-0037
CUST000038,Company 38,Contact 38,Title 38,Address 38,City 38,ENG,38,UK,555-000-0038
CUST000039,Company 39,Contact 39,Title 39,Address 39,City 39,ENG,39,UK,555-000-0039
CUST000040,Company 40,Contact 40,Title 40,Address 40,City 40,ENG,40,UK,555-000-0040
CUST000041,Company 41,Contact 41,Title 41,Address 41,City 41,ENG,41,UK,555-000-0041
CUST000042,Company 42,Contact 42,Title 42,Address 42,City 42,ENG,42,UK,555-000-0042
CUST000043,Company 43,Contact 43,Title 43,Address 43,City 43,ENG,43,UK,555-000-0043
CUST000044,Company 44,Contact 44,Title 44,Address 44,City 44,ENG,44,UK,555-000-0044
CUST000045,Company 45,Contact 45,Title 45,Address 45,City 45,ENG,45,UK,555-000-0045
CUST000046,Company 46,Contact 46,Title 46,Address 46,City 46,ENG,46,UK,555-000-0046
CUST000047,Company 47,Contact 47,Title 47,Address 47,City 47,ENG,47,UK,555-000-0047
CUST000048,Company 48,Contact 48,Title 48,Address 48,City 48,ENG,48,UK,555-000-0048
CUST000049,Company 49,Contact 49,Title 49,Address 49,City 49,ENG,49,UK,555-000-0049
CUST000050,Company 50,Contact 50,Title 50,Address 50,City 50,ENG,50,UK,555-000-0050
CUST000051,Company 51,Contact 51,Title 51,Address 51,City 51,ENG,51,UK,555-000-0051
CUST000052,Company 52,Contact 52,Title 52,Address 52,City 52,ENG,52,UK,555-000-0052
CUST000053,Company 53,Contact 53,Title 53,Address 53,City 53,ENG,53,UK,555-000-0053
CUST000054,Company 54,Contact 54,Title 54,Address 54,City 54,ENG,54,UK,555-000-0054
CUST000055,Company 55,Contact 55,Title 55,Address 55,City 55,ENG,55,UK,555-000-0055
CUST000056,Company 56,Contact 56,Title 56,Address 56,City 56,ENG,56,UK,555-000-0056
